Name,Event,Description,Cost,Date,Time,Address,Ticket_URL,Keywords
Comedy In Harlem,KAREEM GREEN HEADLINES CERTIFIED MONSTERZ LIVE AT COMEDY IN HARLEM (FRIDAY 8PM),"Certified Monsterz brings a stacked lineup of high-energy stand-up featuring Kareem Smith, Kareem Green, John Ovalles, PJ Bryan, and Rashad Bashir for a night of nonstop laughs. Raw NYC comedy energy with assigned seating and an 8:00 PM showtime.",$18 Food/Drink Minimum Per Person,2026-05-01,8:00 PM,"750A St Nicholas Ave, New York, NY 10031, USA",https://www.comedyinharlem.com/shows/365262,"improv, comedy, stand-up, humor, energetic, rowdy, groups, adults, live-comedy, nyc-comedians"
Comedy In Harlem,ISIAH KELLY HEADLINES MONSTERZ PRESENTS: THE BEST OF BOTH WORLDS (SATURDAY 8PM),"The Best of Both Worlds showcases a diverse lineup (Reggie Kush, Gadiel Del Orbe, Nemo, Soo-Ra, JJ Mattise) with Isiah Kelly headlining for an energetic night blending styles and perspectives. Showtime is 8:00 PM at Comedy In Harlem.",$18 Food/Drink Minimum Per Person,2026-05-02,8:00 PM,"750A St Nicholas Ave, New York, NY 10031, USA",https://www.comedyinharlem.com/shows/365264,"improv, comedy, stand-up, energetic, rowdy, groups, adults, isiah-kelly, harlem-comedy"
Comedy In Harlem,LOS MONSTROZ LIVE AT COMEDY IN HARLEM (SATURDAY 10:30PM),"Los Monstroz brings a late-night, high-energy show featuring For Dha Money, P.J. Bryan, and Big Rhed with real stories and punchlines in a late-night Harlem atmosphere. Showtime is 10:30 PM.",$18 Food/Drink Minimum Per Person,2026-05-02,10:30 PM,"750A St Nicholas Ave, New York, NY 10031, USA",https://www.comedyinharlem.com/shows/365265,"improv, comedy, sketch, energetic, late-night, groups, live-performers, harlem-comedy"
Rodney's Comedy Club,Tony Dabas Connor King Ted Barton Hannah Jones and more,"A nightly stand-up showcase featuring Tony Dabas, Connor King, Ted Barton, Hannah Jones and other comedians performing at Rodney’s Comedy Club. Seating is assigned by check-in and a $20-item minimum purchase per person applies.",$20,2026-05-01,8:30 PM,"1118 1st Ave, New York, NY 10065, USA",https://rodneysnewyorkcomedyclub.com/shows/friday-night-laughs-at-rodneys-4,"comedy, stand-up, improv, comedian, laughs, energetic, groups, comedy-showcase, live-comedy"
Rodney's Comedy Club,Kevin Brennan Reverend Bob Levy and more !,A headlining stand-up show featuring Kevin Brennan with Reverend Bob Levy and other performers in an evening showcase of established comedians. Seating is assigned based on on-time check-in and a $20-item minimum purchase per person applies.,$25,2026-05-02,8:00 PM,"1118 1st Ave, New York, NY 10065, USA",https://rodneysnewyorkcomedyclub.com/shows/kevin-brennan-reverend-bob-levy-and-more-,"comedy, stand-up, humor, comedian, energetic, adults, groups, headliner-showcase, established-comedians"
High Line Comedy Club,Comedy Show + Mini-Golf Experience,Stand-up showcase at High Line Comedy Club featuring rotating comedians. Tickets include admission to the comedy show and access to mini-golf at Puttery (21+; 1 item food/drink minimum).,From $26.00,2026-05-01,7:00 PM,"446 W 14th St, New York, NY 10014, USA",https://feverup.com/m/342299,"comedy, stand-up, humor, improv, interactive, energetic, adults, date-night, mini-golf, comedy-showcase"
High Line Comedy Club,Comedy Show + Mini-Golf Experience,Stand-up showcase at High Line Comedy Club featuring rotating comedians. Tickets include admission to the comedy show and access to mini-golf at Puttery (21+; 1 item food/drink minimum).,From $26.00,2026-05-01,9:00 PM,"446 W 14th St, New York, NY 10014, USA",https://feverup.com/m/342299,"comedy, stand-up, humor, improv, energetic, adults, date-night, mini-golf, comedy-showcase"
High Line Comedy Club,Comedy Show + Mini-Golf Experience,Stand-up showcase at High Line Comedy Club featuring rotating comedians. Tickets include admission to the comedy show and access to mini-golf at Puttery (21+; 1 item food/drink minimum).,From $26.00,2026-05-02,7:00 PM,"446 W 14th St, New York, NY 10014, USA",https://feverup.com/m/342299,"comedy, stand-up, humor, improv, energetic, adults, date-night, mini-golf, comedy-showcase"
High Line Comedy Club,Comedy Show + Mini-Golf Experience,Stand-up showcase at High Line Comedy Club featuring rotating comedians. Tickets include admission to the comedy show and access to mini-golf at Puttery (21+; 1 item food/drink minimum).,From $26.00,2026-05-02,9:00 PM,"446 W 14th St, New York, NY 10014, USA",https://feverup.com/m/342299,"comedy, stand-up, humor, improv, interactive, energetic, adults, date-night, mini-golf, comedy-showcase"
Drunk Shakespeare,Drunk Shakespeare - Romeo and Juliet,"An uproarious theatrical show where five professional actors perform a Shakespeare play while one actor takes multiple shots of whiskey, resulting in unpredictable comedy and audience interaction. Craft cocktails are available for purchase and delivered to seats.",N/A,2026-04-30,7:00 PM,"35 W 39th St, New York, NY 10018, USA",https://www.bigstub.com/Drunk-Shakespeare-Tickets/New-York-NY/event-7759633-April-30th-2026-The-Ruby-Theatre,"improv, comedy, sketch, unscripted, energetic, rowdy, adults, groups, shakespeare-parody, drunk-theatre"
Drunk Shakespeare,Drunk Shakespeare - Romeo and Juliet,"An uproarious theatrical show where five professional actors perform a Shakespeare play while one actor takes multiple shots of whiskey, resulting in unpredictable comedy and audience interaction. Craft cocktails are available for purchase and delivered to seats.",N/A,2026-05-01,8:00 PM,"35 W 39th St, New York, NY 10018, USA",https://www.bigstub.com/Drunk-Shakespeare-Tickets/New-York-NY/event-7759634-May-1st-2026-8pm-The-Ruby-Theatre,"improv, comedy, sketch, unscripted, energetic, rowdy, groups, adults, shakespeare-parody, drunk-theater"
Drunk Shakespeare,Drunk Shakespeare - Romeo and Juliet,"An uproarious theatrical show where five professional actors perform a Shakespeare play while one actor takes multiple shots of whiskey, resulting in unpredictable comedy and audience interaction. Craft cocktails are available for purchase and delivered to seats.",N/A,2026-05-01,10:00 PM,"35 W 39th St, New York, NY 10018, USA",https://www.bigstub.com/Drunk-Shakespeare-Tickets/New-York-NY/event-7759635-May-1st-2026-10pm-The-Ruby-Theatre,"improv, comedy, sketch, unscripted, energetic, rowdy, adults, groups, shakespeare-comedy, drunk-performance"
Drunk Shakespeare,Drunk Shakespeare - Romeo and Juliet,"An uproarious theatrical show where five professional actors perform a Shakespeare play while one actor takes multiple shots of whiskey, resulting in unpredictable comedy and audience interaction. Craft cocktails are available for purchase and delivered to seats.",N/A,2026-05-02,5:00 PM,"35 W 39th St, New York, NY 10018, USA",https://www.bigstub.com/Drunk-Shakespeare-Tickets/New-York-NY/event-7759637-May-2nd-2026-5pm-The-Ruby-Theatre,"improv, comedy, sketch, unscripted, energetic, rowdy, adults, groups, drunk-shakespeare, whiskey-comedy"
Drunk Shakespeare,Drunk Shakespeare - Romeo and Juliet,"An uproarious theatrical show where five professional actors perform a Shakespeare play while one actor takes multiple shots of whiskey, resulting in unpredictable comedy and audience interaction. Craft cocktails are available for purchase and delivered to seats.",N/A,2026-05-02,7:00 PM,"35 W 39th St, New York, NY 10018, USA",https://www.bigstub.com/Drunk-Shakespeare-Tickets/New-York-NY/event-7759638-May-2nd-2026-7pm-The-Ruby-Theatre,"improv, comedy, sketch, unscripted, rowdy, energetic, groups, adults, drunk-shakespeare, interactive-theater"
The Grisly Pear - Midtown,Comedy Show at The Grisly Pear Midtown,"Mixed-bill comedy show at the Grisly Pear Midtown featuring touring and local comedians; expect performers you may have seen on HBO, Netflix, Comedy Central, and late night TV.",$23.24,2026-05-01,7:30 PM,"243 W 54th St, New York, NY 10019, USA",https://www.grislypearstandup.com/events/comedy-show-at-the-grisly-pear-midtown-05-01-26-07-30-pm,"comedy, stand-up, improv, comedian, energetic, late-night, groups, touring-comedians, netflix-comedians"
The Grisly Pear - Midtown,Comedy Show at The Grisly Pear Midtown,"Primetime mixed-bill comedy show featuring Fiona Michaels, Tomas Liebel, Ja-Ron Young, and Malorie Bryant; a typical Pear showcase of established and rising comedians.",$23.24,2026-05-01,9:30 PM,"243 W 54th St, New York, NY 10019, USA",https://www.grislypearstandup.com/events/comedy-show-at-the-grisly-pear-midtown-05-01-26-09-30-pm,"improv, comedy, stand-up, humor, energetic, adults, laughs, mixed-bill, comedian-showcase"
The Grisly Pear - Midtown,Comedy Show at The Grisly Pear Midtown,"Evening comedy show featuring Rahul Pandya, Jordan Spivey, Cameron Stafford, Kimberly Dinaro, and Rachel Paula Green; a mix of local and touring talent.",$23.24,2026-05-02,7:30 PM,"243 W 54th St, New York, NY 10019, USA",https://www.grislypearstandup.com/events/comedy-show-at-the-grisly-pear-midtown-05-02-26-07-30-pm,"improv, comedy, stand-up, humor, energetic, groups, adults, local-comedians, touring-talent"
The Grisly Pear - Midtown,Comedy Show at The Grisly Pear Midtown,"Late-evening comedy show featuring Doug Uram, Shivani Dave, Eric Menzel, Candyce Cook, and Ja-Ron Young; part of the Grisly Pear Midtown's primetime lineup.",$23.24,2026-05-02,9:30 PM,"243 W 54th St, New York, NY 10019, USA",https://www.grislypearstandup.com/events/comedy-show-at-the-grisly-pear-midtown-05-02-26-09-30-pm,"improv, comedy, stand-up, sketch, energetic, groups, late-night, comedian-lineup, primetime-comedy"
Magnet Theater,Musical Megawatt featuring Mona Lisa & Lil' Spoon,"A whole night entirely dedicated to musical improv, Musical Megawatt showcases musical theatre-style scenes and songs made up on the spot by top improvisers.",$8,2026-04-30,6:30 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/tickets/60571/,"improv, musical-improv, sketch, unscripted, energetic, groups, musical-theatre, comedy-songs"
Magnet Theater,Musical Megawatt featuring Factory Factory & Middle Brain,"A whole night entirely dedicated to musical improv, Musical Megawatt showcases musical theatre-style scenes and songs made up on the spot by top improvisers.",$8,2026-04-30,7:30 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/tickets/60572/,"improv, unscripted, musical-improv, energetic, interactive, groups, adults, musical-theater, live-performance"
Magnet Theater,Musical Megawatt featuring The Night Crew & Grinch Debussy,"A whole night entirely dedicated to musical improv, Musical Megawatt showcases musical theatre-style scenes and songs made up on the spot by top improvisers.",$8,2026-04-30,8:30 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/tickets/60573/,"improv, unscripted, musical-improv, energetic, interactive, groups, adults, comedy, live-music"
Magnet Theater,Musical Megawatt featuring Backseat Driver & Houndstooth,"A whole night entirely dedicated to musical improv, Musical Megawatt showcases musical theatre-style scenes and songs made up on the spot by top improvisers.",$8,2026-04-30,9:30 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/tickets/60574/,"improv, sketch, unscripted, musical-improv, energetic, groups, adults, live-performance, musical-theatre"
Magnet Theater,Musical Improv Level Three Class Show,Graduates of Musical Improv Level Three take the stage and showcase what they've learned.,$5,2026-05-01,6:00 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/tickets/60407/,"improv, sketch, unscripted, musical-improv, interactive, energetic, groups, performance-showcase, comedy-class"
Magnet Theater,Premiere: The Improvised Musical,Premiere features NYC's top comedy performers turning an audience suggestion into a fully crafted musical each week.,$17,2026-05-01,7:30 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/tickets/60650/,"improv, comedy, unscripted, musical-theater, energetic, interactive, groups, audience-participation, sketch-comedy"
Magnet Theater,The Friday Night Sh*w,A fast-paced improv show where audience members submit confessions and the performers turn them into live scenes and comedy.,$17,2026-05-01,9:00 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/tickets/60651/,"improv, comedy, unscripted, interactive, energetic, groups, audience-confessions, live-improv"
Magnet Theater,Spaghetti Presents: One-Hour Photo,"Spaghetti asks audience members to submit safe-for-work photos, interviews the photographer, and improvises scenes based on the photo and interview.",$10,2026-05-01,10:30 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/tickets/60686/,"improv, unscripted, sketch, interactive, energetic, groups, solo-friendly, audience-participation, photo-improv"
Magnet Theater,Advanced Improv Level 1 Class Show,Graduates of Advanced Improv 1 take the stage and showcase what they've learned.,$5,2026-05-02,4:30 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/tickets/60382/,"improv, sketch, unscripted, interactive, energetic, groups, solo-friendly, improv-showcase, student-performance"
Magnet Theater,Advanced Improv Level 1 Class Show,Graduates of Advanced Improv 1 take the stage and showcase what they've learned.,$5,2026-05-02,6:00 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/tickets/60386/,"improv, sketch, unscripted, energetic, interactive, groups, improv-showcase"
Magnet Theater,The Armando Diaz Experience,"A long-running improv format featuring a guest monologist whose true stories are used by a rotating cast of improvisers to create high-minded, playful scenes.",$17,2026-05-02,7:30 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/tickets/60634/,"improv, unscripted, sketch, interactive, energetic, intimate, groups, storytelling, character-driven, long-running-format"
Magnet Theater,Trike,A late-night improv duo show praised by The New York Times and Time Out New York for its playful physical transformation and careful scenework.,$17,2026-05-02,9:00 PM,"254 W 29th St, New York, NY 10001, USA",https://magnettheater.com/show/tickets/60635/,"improv, unscripted, sketch, late-night, energetic, couples, physical-comedy, scenework"
Asylum NYC,OUTLAUGH: NEW YORK - Episode 7,"A live comedy competition where castaway comedians face Survivor-style challenges and eliminations, blending improv and reality-show drama. Hosted by Jared Laxer with co-host Elle Rochford, the show features original standalone comedy performances each episode.",$36 +,2026-04-30,8:00 PM,"123 E 24th St, New York, NY 10010, USA",https://www.tixr.com/groups/asylumnyc/events/outlaugh-new-york-episode-7-180805,"improv, comedy, sketch, energetic, interactive, groups, comedy-competition, survivor-style, elimination-game"
BATSU!,BATSU! NYC,"An immersive live ""batsu"" comedy game show where improvising comedians compete in outrageous challenges and punishments; audience members may be selected to participate. Runs roughly two hours and contains adult themes and flashing lights.",$48.60 (Standard); $81 (VIP),2026-04-30,7:00 PM,"67 1st Ave, New York, NY 10003, USA",https://batsulive.com/new-york/,"improv, unscripted, comedy, energetic, interactive, groups, adults, comedy-game-show, live-punishment-challenges"
BATSU!,BATSU! NYC,"An immersive live ""batsu"" comedy game show where improvising comedians compete in outrageous challenges and punishments; audience members may be selected to participate. Runs roughly two hours and contains adult themes and flashing lights.",$59.40 (Standard); $91.80 (VIP),2026-05-01,7:00 PM,"67 1st Ave, New York, NY 10003, USA",https://batsulive.com/new-york/,"improv, comedy, unscripted, energetic, interactive, groups, adults, batsu-game-show, live-comedy-challenges"
BATSU!,BATSU! NYC,"An immersive live ""batsu"" comedy game show where improvising comedians compete in outrageous challenges and punishments; audience members may be selected to participate. Runs roughly two hours and contains adult themes and flashing lights.",$59.40 (Standard); $91.80 (VIP),2026-05-01,10:00 PM,"67 1st Ave, New York, NY 10003, USA",https://batsulive.com/new-york/,"improv, comedy, unscripted, energetic, interactive, adults, groups, batsu-game-show, audience-participation"
BATSU!,BATSU! NYC,"An immersive live ""batsu"" comedy game show where improvising comedians compete in outrageous challenges and punishments; audience members may be selected to participate. Runs roughly two hours and contains adult themes and flashing lights.",$59.40 (Standard); $91.80 (VIP),2026-05-02,7:00 PM,"67 1st Ave, New York, NY 10003, USA",https://batsulive.com/new-york/,"improv, comedy, unscripted, energetic, interactive, groups, adults, batsu-game-show, audience-participation"
BATSU!,BATSU! NYC,"An immersive live ""batsu"" comedy game show where improvising comedians compete in outrageous challenges and punishments; audience members may be selected to participate. Runs roughly two hours and contains adult themes and flashing lights.",$59.40 (Standard); $91.80 (VIP),2026-05-02,10:00 PM,"67 1st Ave, New York, NY 10003, USA",https://batsulive.com/new-york/,"improv, comedy, unscripted, energetic, interactive, groups, adults, batsu-game-show, audience-participation"
New York Comedy Club - Upper West Side,"Caitlin Peluffo, Fabrizio Copano, Pat Burtscher, Phil Duckett, Jesse Eigner","Spent the day exploring the Met or strolling through Central Park? Cap it off with a night of killer stand-up just around the corner. Each show is a fast-paced showcase of top-tier comics, big laughs, and good vibes only.",LIMITED GA: $29.00 (SOLD OUT); GENERAL ADMISSION: $47.16 ($39.00 + $8.16 fee); PREMIUM SEATING: $58.03 ($49.00 + $9.03 fee); PREMIUM SEATING FOR 3: $164.56; PREMIUM SEATING FOR 5: $271.10,2026-05-01,6:15 PM,"236 W 78th St, New York, NY 10024, USA",https://newyorkcomedyclub.com/events/caitlin-peluffo-fabrizio-copano-pat-burtscher-phil-duckett-jesse-eigner,"improv, comedy, stand-up, humor, energetic, adults, groups, late-night, comedian-showcase, killer-laughs"
New York Comedy Club - Upper West Side,"Alingon Mitra, Eagle Witt, Christine Berg, Erin Maguire","A comic. A mic. A brick wall. A room full of fans — it doesn’t get more New York than this, with a showcase of multiple comics and surprise drop-ins.",GENERAL ADMISSION: $53.68 ($45.00 + $8.68 fee); PREMIUM SEATING: $64.55 ($55.00 + $9.55 fee); PREMIUM SEATING FOR 3: $184.13,2026-05-01,8:30 PM,"236 W 78th St, New York, NY 10024, USA",https://newyorkcomedyclub.com/events/alingon-mitra-eagle-witt-christine-berg-erin-maguire,"improv, stand-up, comedy, sketch, energetic, rowdy, groups, adults, showcase, surprise-guests"
New York Comedy Club - Upper West Side,"Kaneez Surka, Damien Lemon, Christine Berg, Gastor Almonte",Spent the day exploring the Met or strolling through Central Park? Cap it off with a night of killer stand-up just around the corner. The show is a fast-paced showcase of top-tier comics and big laughs.,LIMITED GA: $36.29 ($29.00 + $7.29 fee); GENERAL ADMISSION: $47.16 ($39.00 + $8.16 fee); PREMIUM SEATING: $58.03 ($49.00 + $9.03 fee); PREMIUM SEATING FOR 3: $164.56; PREMIUM SEATING FOR 5: $271.10,2026-05-01,10:45 PM,"236 W 78th St, New York, NY 10024, USA",https://newyorkcomedyclub.com/events/kaneez-surka-damien-lemon-christine-berg-gastor-almonte,"comedy, stand-up, humor, comedian, energetic, adults, late-night, comedy-showcase, killer-laughs"
New York Comedy Club - Upper West Side,Matinee with Ry Daddy,"It’s never too early to get your comedy fix! Skip out of work early and join us for this ""matinee"" mix of fresh faces, club faves, and citywide stars.",GENERAL ADMISSION: $36.29 ($29.00 + $7.29 fee); PREMIUM SEATING: $47.16 ($39.00 + $8.16 fee); PREMIUM SEATING FOR 3: $131.95; PREMIUM SEATING FOR 5: $216.74,2026-05-02,4:00 PM,"236 W 78th St, New York, NY 10024, USA",https://newyorkcomedyclub.com/events/matinee-with-ry-daddy-2026-03-23154403,"improv, comedy, stand-up, energetic, casual, groups, matinee-comedy, fresh-faces"
New York Comedy Club - Upper West Side,"Vinny Guadagnino, Eric Neumann, Matt Bachus, Riley Lassin","Spent the day exploring the Met or strolling through Central Park? Cap it off with a night of killer stand-up just around the corner. It’s intimate, unfiltered, and unforgettable—the perfect blend of neighborhood charm and New York edge.",GENERAL ADMISSION: $47.16 ($39.00 + $8.16 fee); PREMIUM SEATING: $58.03 ($49.00 + $9.03 fee); PREMIUM SEATING FOR 5: $271.10,2026-05-02,6:15 PM,"236 W 78th St, New York, NY 10024, USA",https://newyorkcomedyclub.com/events/vinny-guadagnino-eric-neumann-matt-bachus-riley-lassin,"improv, comedy, stand-up, unscripted, intimate, energetic, adults, groups, neighborhood-comedy, unfiltered"
New York Comedy Club - Upper West Side,"Jared Harvin, Oscar Aydin, Luisa Lange, Max Antonucci",A comic. A mic. A brick wall. A room full of fans — the club channels the raw energy of classic stand-up with multiple comics and surprise drop-ins.,GENERAL ADMISSION: $53.68 ($45.00 + $8.68 fee); PREMIUM SEATING: $64.55 ($55.00 + $9.55 fee); PREMIUM SEATING FOR 3: $184.13; PREMIUM SEATING FOR 5: $303.71,2026-05-02,8:30 PM,"236 W 78th St, New York, NY 10024, USA",https://newyorkcomedyclub.com/events/jared-harvin-oscar-aydin-luisa-lange-max-antonucci,"improv, comedy, stand-up, unscripted, energetic, rowdy, groups, adults, live-comedy, drop-ins"
New York Comedy Club - Upper West Side,"Neko White, Marie Faustin, Max Antonucci","Spent the day exploring the Met or strolling through Central Park? Cap it off with a night of killer stand-up just around the corner. Each show is a fast-paced showcase of top-tier comics, big laughs, and good vibes only.",GENERAL ADMISSION: $47.16 ($39.00 + $8.16 fee); PREMIUM SEATING FOR 3: $164.56; PREMIUM SEATING: $58.03; PREMIUM SEATING FOR 5: $271.10,2026-05-02,10:45 PM,"236 W 78th St, New York, NY 10024, USA",https://newyorkcomedyclub.com/events/neko-white-marie-faustin-max-antonucci,"improv, stand-up, comedy, humor, energetic, casual, groups, late-night, killer-comics"
The Tank,Passengers,"An LGBTQ+ rom-com pilot told in ASL and English about Dale, a Deaf man who moves to NYC and falls for Wyatt, a hearing man; the screening includes an ASL-interpreted cast & crew talkback and Q&A.",N/A,2026-04-30,9:30 PM,"312 W 36th St., New York, NY 10018, USA",https://tickets.thetanknyc.org/EventAvailability?EventId=107601&ref=bookNow&scroll=timeAndDates,"improv, sketch, unscripted, interactive, intimate, LGBTQ+, Deaf-representation, rom-com, ASL-interpreted"
The Tank,The Rule Of Thirds,"A play inspired by Robert Capa’s experiences that brings civilians’ stories into focus, exploring wartime perspectives through ensemble-driven storytelling.",N/A,2026-04-30,7:00 PM,"312 W 36th St., New York, NY 10018, USA",https://tickets.thetanknyc.org/EventAvailability?EventId=100801&ref=bookNow&scroll=timeAndDates,"improv, sketch, unscripted, ensemble, immersive, interactive, adults, groups, wartime-stories, Robert-Capa"
The Tank,The Experiment,An absurd tragicomedy about a family barbecue gone awry when the youngest daughter tries to summon a demon — dark humor about sacrifice and family dynamics.,N/A,2026-05-01,7:00 PM,"312 W 36th St., New York, NY 10018, USA",https://tickets.thetanknyc.org/EventAvailability?EventId=108601&ref=bookNow&scroll=timeAndDates,"improv, sketch, unscripted, dark-humor, absurd, energetic, adults, tragicomedy, demon-summoning, family-dysfunction"
The Tank,Holy Waters: A Mythical Lesbian Adventure!,"A mythic, comedic drama following Thea, a graduate student whose research into WetFest triggers a mystical vision that sends her on a journey to uncover a hidden past.",N/A,2026-05-01,9:30 PM,"312 W 36th St., New York, NY 10018, USA",https://tickets.thetanknyc.org/EventAvailability?EventId=111601&ref=bookNow&scroll=timeAndDates,"improv, sketch, comedy, interactive, energetic, adults, lgbtq, mythical-adventure"
The Tank,The Rule Of Thirds,"A play inspired by Robert Capa’s experiences that brings civilians’ stories into focus, exploring wartime perspectives through ensemble-driven storytelling.",N/A,2026-05-02,7:00 PM,"312 W 36th St., New York, NY 10018, USA",https://tickets.thetanknyc.org/EventAvailability?EventId=100801&ref=bookNow&scroll=timeAndDates,"improv, sketch, unscripted, interactive, immersive, groups, historical-fiction, ensemble-storytelling, wartime-narratives"
