Name,Address,Rating,Total Ratings,Price Level,Place ID,Website,Photo_URL
The Grisly Pear - Midtown,"243 W 54th St, New York, NY 10019, USA",4.7,375,N/A,ChIJ2coDr_NZwokRAP5zsx2kbok,https://midtown.thegrislypear.com/,https://places.googleapis.com/v1/places/ChIJ2coDr_NZwokRAP5zsx2kbok/photos/AU_ZVEHeDDqhPLmvaVJO46NNstHxGZiANOahdXu044skupzsGO3KDjCTvyfvZbfFJrKM5VC4dkbWX2kC_e6YZ8fVxq1Nf8zH1Q9A6bZ6-n4bGZNsXXl4NlSACNVlf5xlIBElRwww_NFhwoc-ZyzSHFoJm9fK1o-yh2jQt9JV4ssPSEbThq7gJitorAVLRR1lcSUCGmc36g4-2RrQcF87tsDJgS_53jM00qV_00KjiR-Q65XlxDgEXTDkfnEK9nWHivxzKRjjbQ5HZiFe6MmNwF0azBOIK19gmhcIXpW4cV8gZuci0A/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
BATSU!,"67 1st Ave, New York, NY 10003, USA",4.7,455,N/A,ChIJ4QKVd5xZwokRKNIH6nKJPAE,http://batsulive.com/,https://places.googleapis.com/v1/places/ChIJ4QKVd5xZwokRKNIH6nKJPAE/photos/AU_ZVEEQ-Bg5KrTcseGrlxKYDbYkqsfx7DVM3iC_3d8ulCtAUigejfacKABwbMNxznRyuSX6YcaUka6A4UEDLBHU_KYXv3zMCsYqDjxwCABBpUD2RliF7weO52xUmT3Lbf2oAMxjG6l-tKxVytNGvBd_d0DQh6RSy9HfWqG17nxvSJ_tBbfNi9QkkQAvl0inzN7XLX4NHL5AJ7KoDxu7U959jiG8XlAZgSBu9AG38Bt_WSH0uO3-bHnVTaJWYN8BVcDFxLqtExT4-SaGp1RUS9_1AHaReU3u4aAYKHGjtHBCb16tHw/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
Asylum NYC,"123 E 24th St, New York, NY 10010, USA",4.6,211,N/A,ChIJaSmrRRpZwokRZ8s8WNeUf9g,http://asylumnyc.com/,https://places.googleapis.com/v1/places/ChIJaSmrRRpZwokRZ8s8WNeUf9g/photos/AU_ZVEEVjoFUZfnUA4RD4YE0XAFMXkWvtNQj7nSERX0NxOJdv6XyOU5v2aUsAahrLWfeh9FJ23CvIgN-geMRWleEZ2ownME-nMQZqywz7zbN2tfRYSZzRgXpgtnbPenKtA-B7oDTVDAGwC4KJRoFH1hAAiC1IDVBZebq6y3xcMANIIDrfIuK7XLTNNBdTZXMd5iwBoK729p08fUEVrB36SIaaByGzQaUf9z__VdYTZIWrsi-u4kT6NquFxggL1i53PYQU0vkfwsLVSsNNXq-2GvAvpIT9pX7fjD4gmr75UtzPDokmvdAsRxj7excPPzL_GVn5UDr-Ly9ZUDb-aoRwBKIVc5X7dliZUoKna3ug9J6ekH8x1O1nhc1pDnQCzi88V2mWNLvV962PtiVmgyXCzyVmm3lyz7F_dU3qrkLFYtBHTki1Q/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
The Tank,"312 W 36th St., New York, NY 10018, USA",4.6,362,N/A,ChIJoVpmv1NYwokRdSC6tdCYkdc,http://www.thetanknyc.org/,https://places.googleapis.com/v1/places/ChIJoVpmv1NYwokRdSC6tdCYkdc/photos/AU_ZVEHr_HKJkOiNn7mdVe6dZmczm3zc0RhVHrFZ6GQQH8iz1SezyrsY4zRmr8baWRuHS99YefVnUydSYOMDUmAG3yPNBaUi8SWOG2gaOEL_b1V0P56-oEQ5DcffENaede_uUz601JoIIguCu9O_FtsneV_RPwg0cgycGYyPXjeLgXWHZXy8Sq5UCrX1pGPLDRtZN-XS-7zq_CEqUAP1Z16DOC_BB4D1eKcXkHlZ07DZXaqFQlBwnfCFWWT8tlBYqd-Q5Dwlcpzuhd1soaGmxmgSxaFykhP5Filb1L0apHPCXzr9uA/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
New York Comedy Club - Upper West Side,"236 W 78th St, New York, NY 10024, USA",4.6,375,N/A,ChIJESAv-hVZwokRwPoWEdLLf6c,https://newyorkcomedyclub.com/,https://places.googleapis.com/v1/places/ChIJESAv-hVZwokRwPoWEdLLf6c/photos/AU_ZVEHXTNb02mTANAiEc1mmje8oo3rcFMJe9dQRoxvxBZdKSfXEI0B4uUZfL_XYC-Rz5rwv3Ckv0SamdrncMBuxCwGKRRgqG-4yTUyCYMbJzdt7mGKegKD7D4Pp0EgVxqxbiDNugcxijJe_JpVDbaHm8slebNJiaUDYa1dM4-NrhObrZ8tvl4Hi8Ihxpb1OkUReD4qOUN7mEEq8M_pVwYP-TRwbPgK7l4zfozl3y5aHcfXwl5a1Uh8WoO0izFTYZK18gSuPvjwlpObn07Ag3fLlehCny9-0C0z6fx1Xpb_Qp5gX1g/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
Village Underground,"130 W 3rd St, New York, NY 10012, USA",4.6,1611,PRICE_LEVEL_MODERATE,ChIJUzSA1pNZwokRf6TVgNdK0W0,http://thevillageunderground.com/,https://places.googleapis.com/v1/places/ChIJUzSA1pNZwokRf6TVgNdK0W0/photos/AU_ZVEEN9DLLaunIl4mN7QiI-oLULJ1Gp4d-aJwtDM2g9u15jkJHvdN0xVoAPk8FnClaAEslIBie2ZbevknCmEsK1Ihp_0WbEAyc7nMfVCIAPJLWDDmJWlrmivGCvTMWBfzWgzw0UxVURLaTAhN5Cm7dIK9C3aktERuFiLcSV_P_f7zuyg7UEGdElD-lh72r3se5X1omwF9gZfKvqA1gxLjsTPxey7_o0HtaxDcIz22MzhyfTfngKXWNfCi_ubEQKHd30pChzvBVsCzHY3gNLSufRpxeuPRZ3RPjzM8SYq558us2N2AVuV0Mf6Mtmgf3Xzz3SQ8Q2m9uX6mga1PDSxwMww1lPfdWt7RYbH_DkD2UoILyU7R8SiPNXBq_Wp50wEsDw87QTqH-b7xY5vvDJktYLYu5wJu11xXeFmZa_plJipuM1A/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
Upright Citizens Brigade Theatre,"242 E 14th St, New York, NY 10003, USA",4.6,110,N/A,ChIJYwz0-YJZwokR1XOunnE1Pe4,https://ucbcomedy.com/,https://places.googleapis.com/v1/places/ChIJYwz0-YJZwokR1XOunnE1Pe4/photos/AU_ZVEG4phhZiJkZzkx7IOKolXzEog8fsLTmr9ItJnSzNIrP_Hi1_ieAKtYqzk9EAE6sQFuihIz5zZxz0VZXcrxcLdH-IhEkcwZCON81p2_ekfElJSBoAP_5-VXiIotXI5ZVEbi_CuYXDDJn0-1rwufxSjrzSGlyzeGCjQxuwqVw4q8mJ2O1DklcyUq5SZ5F1UK84OPlZDNvmxCgEwVcguuj2bszwEmw0xnBCJ-NRbK8Q1-G0EMKyT0uil3zxikjVSHDXBqFXf26vIlff9aT2sIaToS_dMN-gx6WgWctmaa4_UJEZbQ-uh2KsMHk1a-W3nxwTbyGcvelmlgYdRYMPPjmpP6Ieyuq_hEzWC-L0sZerdwX2NOrhTEc7Zum4qHo7e2YmEn-5mUZnqdHAlH_rqQIWzdHR8ZGAdDrY46aXQ3z0c30gwXr/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
The PIT,"154 W 29th St, New York, NY 10001, USA",4.5,555,N/A,ChIJG3e1NKdZwokR26WFFB6Lx7w,http://www.thepit-nyc.com/,https://places.googleapis.com/v1/places/ChIJG3e1NKdZwokR26WFFB6Lx7w/photos/AU_ZVEFa2XFbJDbYIKhxbhPo0lNGrq2dXHvS7UGiGIjMRN4GwpVpXT0ONid4ECC6RaKT2TYlzJaaOhsHf4lNb3fAxAgrq_KTcykt78Bc-NXeiMnuqtpOKMczTc97qmeBonIm-Y2giqfRyyhKR0IKoyURWAUqZ5x74Uvk14NNc_Zbt7sEShzfxlOqi7XvfRcBX8r14TOUXs52Ve-s2mhkaERSIXSpR2q7s8DVHQYkfxUnEAdDY_LU7ATzjF93fjO10A80AEf-UTajIRmo8tDiZvExTmYvv6btdFvGLa1e3RjsNyGYHQ/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
Gotham Comedy Club NYC,"208 W 23rd St, New York, NY 10011, USA",4.5,2407,PRICE_LEVEL_EXPENSIVE,ChIJpaxZnKRZwokRCPtV5DWaE50,http://www.gothamcomedyclub.com/,https://places.googleapis.com/v1/places/ChIJpaxZnKRZwokRCPtV5DWaE50/photos/AU_ZVEGedGrErK7jRLwkWZQbuH-qWhK5MdcdJNVculDsuAD340GTSULlVy6nv9z7FXhBipo5aXvuB_k7JhMw03yy2n1rOWtgY3k_n7P5dfyOMinrbCbgIkDn_XqvWqY_QNYMdiBjfsRmLC9ik6KR8zq1oXv138zkH3R68X7CxIl1J7TTPTcSXVySNmPO0TntQsBzkKb-fmro8_K-ZbiAwujnrIr1Jj7I3WiVf_XnRaqgWdHsDlE9_jh6AH7RGjjUjFWri4ftm2bIdkBoLXcTLKJRlnkpsvz0NTMGPpDRrEifuCCKnIx6UYAEhaDiYeS9-J0HFGkmucYAaueSz2b4vh6VEbdl55blD7FMp4eV-KCm9iY0jzwHfCoYvBLWk3aa2NloEEov28KI5vxxixRslxitUEPwL-ChAtf5ltqJrdluFy5a-w/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
IMPROV,"575 Lexington Ave 4th floor, New York, NY 10022, USA",4.4,608,N/A,ChIJya-DOwJZwokRuyaGKO3MhTs,https://www.myimprov.com/defensive-driving/new-york?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,https://places.googleapis.com/v1/places/ChIJya-DOwJZwokRuyaGKO3MhTs/photos/AU_ZVEE_x8D1adfZjMxelQxCQwcYWdmOHLjvqaC5u_gm2ndDHopyBI3pkOgjjuiG9-UhsbW6oso7nu0JHwULltFc5j4hfVA4qMy2ajVglIbgyKKrpGK7KIUWsAi4Mmik2FpoIun0A9U_COz60--vHYVAgAbvv3if4ZIfb_gn696WmhDkUh0aHZ17TIaHksionl8uqcGcqukNIMTJXftA-V4Y_sohAcyGQoM1ZvoQMLAO5N9TT6LM7vBYdb_GopZlRe3AdAf3jjfovKUMJ9gt5TtN16MGyo4loksG1sDWmYyW_xPbNA/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
West Side Comedy Club,"201 W 75th St, New York, NY 10023, USA",4.4,383,N/A,ChIJ2y9MoYlYwokR4VgrlmmMCbM,https://westsidecomedyclub.com/?utm_source=yext,https://places.googleapis.com/v1/places/ChIJ2y9MoYlYwokR4VgrlmmMCbM/photos/AU_ZVEE6pQFmp_PCoKcW4NG2-_OkJ32APIx7mrxDD3t9gsNN8m6RqvN3yruyeA95y_w0XhcLi8iyXEXWZGMOQlS9doWSBVgxvQ7oHWLVE7y06ZsT90KTUFK5tCuEN3HqL-_nTt7ua_StD_6aeFo_RlDlo1DfoRivjt-HEyLL2WWjFBREVWIsBtdRtI2dekwJmvYZt-wPErf16LrHcjVCavhq1MlVLR8xuoU602HVM4YVj3z2VEJSwJtHa98hB8jbC_fpsDmLmVGe_J1JOXeB4cbjukRe3_8uYMhWsEQFaBWpVFp56Q/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
The Stand,"116 E 16th St, New York, NY 10003, USA",4.4,1700,PRICE_LEVEL_MODERATE,ChIJgWBWFaBZwokRfOWdBPY5Y0o,https://thestandnyc.com/,https://places.googleapis.com/v1/places/ChIJgWBWFaBZwokRfOWdBPY5Y0o/photos/AU_ZVEGEjHVqgSu7JxzZVyes-2yU1E2sVR1-WK-KsFZFOXdoDRDvGKd45rSPYktMUAXOlOUnLI3cRMMn1zaiJMczUJIUGqyRCEtLgpc-D-DSYdA_pLXKlVTFqkibVMqCLtJHB-GpLOtrJFsbj6Z4sO9a7YA4GbJsJ3-SFBnTdSLXUmL0R7Vbm8rlwOhcEW36mrl6K0hZosXZtv8FHD2nVuK50MIIGTtkeyxqW2E02uxchFMljFwtE2CF2J3bCtNO7obOPLmUm8XlULGCtA_W2-1DcxLGyVs6U0TLew_QD6LrXY3f2A/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
Comedy Shop,"167 Bleecker St, New York, NY 10012, USA",4.4,773,N/A,ChIJj6cM8ZFZwokREXSH5bbSWZs,http://www.comedyshopnyc.com/events,https://places.googleapis.com/v1/places/ChIJj6cM8ZFZwokREXSH5bbSWZs/photos/AU_ZVEGG2LdzRVI3vCpsEUpTpxl_3JQYDyjYSmjbhBUZiQaoB_OIMezYeJSGCsZ3RSQkoEKnzZmqgSzWxGgOk5MKrByNv3SG_btz1YoqWEFmep87Guw9t2DoZoA-Ege2YGuzYEdwD0WSQEmDUwJPEG8bLWfksTC0VdqqXORE2qvx7zp6rRrhvds4qR3VKLdvB4WeGBsFyNeggVEpT2XROpQbBqHNWot9q-smTIO2vqneQ-F_GwcP__Y2hlx57qNDk4zWbgSP7loS702GPd8_MPJhUE-PrJget6DJ-Iv0_oDRS0YmvA/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
New York Comedy Club - Midtown,"241 E 24th St, New York, NY 10010, USA",4.3,1734,PRICE_LEVEL_EXPENSIVE,ChIJ9esxOApZwokR90NQNxR7QRg,http://www.newyorkcomedyclub.com/,https://places.googleapis.com/v1/places/ChIJ9esxOApZwokR90NQNxR7QRg/photos/AU_ZVEGtJ4tzdALEJ4BcEiVd3xiMAeqM4adUmsqktg5iq8rndraU6n9I49dqs6FUgN4qn83rHUTKsNSXvq-LmyWCN-RgpEuIBjnF38MpynxubL_ObxsGPlspweB-K5V_gcgjleTP-IZn_3pMsIWBEMJ0GZxi_uYz1xt49_lrVCxdgq_3QjcXUufkzG0gkP-Lpfi5ZOrlPKAjJip0O-dK4PirCsgZ8p926vRdeW3PjdP53YQws6Vm2RuoughMzw4ni1_tH2nxEYW1FZTNHh_qVF9Vxkid403KWxtpusqeZl_WVypqYw/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
The Comic Strip,"1568 2nd Ave, New York, NY 10028, USA",4.3,923,PRICE_LEVEL_EXPENSIVE,ChIJQ7fusr5YwokRDVmR6HL6yrk,https://comicstriplive.com/,https://places.googleapis.com/v1/places/ChIJQ7fusr5YwokRDVmR6HL6yrk/photos/AU_ZVEFXwoeZkw4gv8kvOsZHH2V3lhiE5_iIs2HYvmXK_sfRY2n_ZFkiXCbmIHNQc1dooRGz_6zo9OGKdKN8hMfCFfyG3gVzskwCpuTw8jn_U3PqUte633Z99CEM9kLyADb_sC0QXC1JkdFp_0qAkv-64BHoQSstuwlqYjw7vL5UBB17b9LXQCT4fQPeab6YFr26_u3xjlu3sJocGwVgTW5z6W_zycNzPtokQk2tfmemvo1Rx46Xp0P2-J797HOsQZtiIwjf6Epm3ozGY0gdZWsdICKYfcu9F6tnjR1nX08ZG7sDOA/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
New York Comedy Club - East Village,"85 E 4th St, New York, NY 10003, USA",4.3,942,N/A,ChIJo_QP4ApZwokRmLGH_gwnxsI,https://newyorkcomedyclub.com/,https://places.googleapis.com/v1/places/ChIJo_QP4ApZwokRmLGH_gwnxsI/photos/AU_ZVEEWWRYMfi0ubI9hRQ3Hv-p2hqDJOj85xE3oxjeORf53sD0mDfOJCM8zrr0yo27mB1XYW7cae3NdGPS_yowHrD7_fRX5wkQBdNTn6Ths0zBjbjlbnq_WGKod4KM5ars5IcjWSByoUZX0_okw-XkEypES4dmWaoq6aF9FSZyRW6Bl6FM0WvkJpI2t1hslZYz986r6fzB5qTlC6RN6OimCgREVan8MQVnBIbTQax-CjG3HfTDwmhIsnvoIAoG4ySR9EyHtfgMsAMeVEeMf6JfC1cKbj7vfXlpBIdOdLD22rz20a6ei3Pp9g_BU2ebRPuvt60AaknIBrOQDn2wetb6iPGza4eFIi0yJc6VHfyZqRq1QE3muKeRLgFKn8hXpZSSQMizwyi_ghRNe2RaebzevGR_yASSRqwEXK_0kodr5HM9ziA/media?maxWidthPx=800&key=AIzaSyAcVrEg7SAtHymUfEUlLUPLyg7wrYRVuF8
